,File,,myWork16G64W,100000000,100,2300,-1,2266,0,-1,-1,4854872974,2016-05-08T19:32:47,""
,File,,myWork16G64W,500000000,100,21099,-1,11116,0,-1,-1,24274365283,2016-05-08T19:34:54,""
,File,,myWork16G64W,100000000,100,2303,-1,2205,0,-1,-1,4854872974,2016-05-08T19:38:33,""
,File,,sergey,100000000,100,68937,-1,3711,0,-1,-1,4854872974,2016-06-09T16:26:24,""
,File,,myHome2G32,100000000,100,13189,-1,15872,515,-1,-1,4854872974,2016-06-11T14:45:41,""
,File,,myHome2G32,100000000,10000,13588,-1,13006,54689,-1,-1,497412378883,2016-06-11T14:51:19,""
,File,,myWork16G64W,100000000,10000,4655,-1,3870,46,-1,-1,497412378883,2016-06-11T16:10:24,""
,Arr,,myWork16G64W,50000000,10000000,1128,2828,178,215,-1,-1,250020754931854,2016-06-11T16:15:38,""
,MStream,,myWork16G64W,20000000,10000000,880,-1,530,1040,-1,-1,100008295974104,2016-06-11T16:15:43,""
,File,,myWork16G64W,50000000,10000000,2069,-1,2181,46765,-1,-1,250020754931854,2016-06-11T16:15:45,""
,Arr,,myWork16G64W,50000000,10000000,1132,2819,181,226,-1,-1,250020754931854,2016-06-11T16:18:04,""
,MStream,,myWork16G64W,20000000,10000000,881,-1,539,1041,-1,-1,100008295974104,2016-06-11T16:18:09,""
,File,,myWork16G64W,50000000,1000000,2116,-1,1921,4745,-1,-1,24991170814715,2016-06-11T16:18:11,""
,Arr,,myWork16G64W,50000000,10000000,1126,2807,177,229,-1,-1,250020754931854,2016-06-11T20:37:36,""
,MStream,,myWork16G64W,20000000,10000000,879,-1,547,1035,-1,-1,100008295974104,2016-06-11T20:37:40,""
,File,,myWork16G64W,50000000,1000000,2097,-1,1882,4620,-1,-1,24991170814715,2016-06-11T20:37:43,""
,Arr,,myNote4G64W,50000000,10000000,2033,4785,375,303,-1,-1,250020754931854,2016-06-30T11:22:06,""
,MStream,,myNote4G64W,20000000,10000000,1638,-1,959,1477,-1,-1,100008295974104,2016-06-30T11:22:14,""
,File,,myNote4G64W,50000000,1000000,12981,-1,2698,9083,-1,-1,24991170814715,2016-06-30T11:22:18,""
,Arr,,myNote4G64W,50000000,10000000,1971,4856,385,318,-1,-1,250020754931854,2016-06-30T11:22:54,""
,MStream,,myNote4G64W,20000000,10000000,1737,-1,988,1465,-1,-1,100008295974104,2016-06-30T11:23:03,""
,File,,myNote4G64W,50000000,1000000,11510,-1,2779,8946,-1,-1,24991170814715,2016-06-30T11:23:07,""
,ColdRandFile,,myNote4G64W,50000000,10000,-1,-1,-1,158370,-1,-1,248706184478,2016-06-30T14:26:20,""
,Arr,,dellSyp4G64,50000000,10000000,2255,4165,393,317,-1,-1,250020754931854,2016-07-21T03:00:21,""
,MStream,,dellSyp4G64,20000000,10000000,1801,-1,1287,1547,-1,-1,100008295974104,2016-07-21T03:00:29,""
,File,,dellSyp4G64,50000000,1000000,12953,-1,3964,9487,-1,-1,24991170814715,2016-07-21T03:00:34,""
,Arr,,myHome2G32,50000000,10000000,3010,5490,377,812,-1,-1,250020754931854,2016-07-31T18:03:27,""
,MStream,,myHome2G32,20000000,10000000,1773,-1,1073,2151,-1,-1,100008295974104,2016-07-31T18:03:38,""
,File,,myHome2G32,10000000,1000000,801,-1,630,11652,-1,-1,4998233362516,2016-07-31T18:03:43,""
,Arr,,myWork16G64W,50000000,10000000,1160,2660,162,229,-1,-1,250020754931854,2016-09-20T14:34:03,""
,MStream,,myWork16G64W,20000000,10000000,889,-1,502,1028,-1,-1,100008295974104,2016-09-20T14:34:07,""
,File,,myWork16G64W,10000000,1000000,384,-1,364,4500,-1,-1,4998233362516,2016-09-20T14:34:10,""
,Arr,,myWork16G64W,50000000,10000000,1075,2665,162,221,-1,-1,250020754931854,2016-09-20T14:39:10,""
,MStream,,myWork16G64W,20000000,10000000,885,-1,501,1055,-1,-1,100008295974104,2016-09-20T14:39:14,""
,File,,myWork16G64W,10000000,1000000,408,-1,365,4372,-1,-1,4998233362516,2016-09-20T14:39:17,""
,Arr,,myWork16G64W,50000000,10000000,1084,2766,167,218,-1,-1,250020754931854,2016-09-22T22:03:43,""
,MStream,,myWork16G64W,20000000,10000000,917,-1,522,1030,-1,-1,100008295974104,2016-09-22T22:03:48,""
,File,,myWork16G64W,10000000,1000000,397,-1,393,4371,-1,-1,4998233362516,2016-09-22T22:03:51,""
,Arr,,myWork16G64W,50000000,10000000,1061,2758,168,249,-1,-1,250020754931854,2016-09-22T22:04:48,""
,MStream,,myWork16G64W,20000000,10000000,884,-1,524,1034,-1,-1,100008295974104,2016-09-22T22:04:53,""
,File,,myWork16G64W,10000000,1000000,431,-1,415,6233,-1,-1,4998233362516,2016-09-22T22:04:55,""
